"@lat"	"@lon"	"name"	"type"
"45.1140957"	"2.6717462"	"Pas de Peyrol"	"attraction"
"45.0590336"	"2.7613395"	"Plomb du Cantal"	"viewpoint"
"49.2104029"	"-2.1539490"	"Jersey War Tunnels"	"museum"
"49.2291856"	"-2.2343313"	"Channel Islands Military Museum"	"museum"
"41.5570474"	"8.8868069"	"Palaghju"	"archaeological_site"
"41.5570474"	"8.8868069"	"Palaghju"	"attraction"
"45.7464306"	"4.8359519"	"Centre d'Histoire de la Résistance et de la Déportation"	"museum"
"45.8270835"	"6.2861287"	"La Tournette"	"viewpoint"
"43.4805282"	"6.9116664"	"Col Notre-Dame"	"viewpoint"
"43.4964590"	"6.9175550"	"Col du Trayas"	"viewpoint"
"48.8430243"	"-1.5925653"	"Musée Christian Dior"	"attraction"
"47.2680167"	"-2.1697193"	"Musée de la Marine"	"museum"
"48.6106722"	"7.4314295"	"Geierstein"	"attraction"
"48.6011937"	"7.2869446"	"Schneeberg"	"attraction"
"48.4349014"	"7.4039763"	"Source Sainte-Odile"	"attraction"
"41.3878259"	"9.1606179"	"Bonifacio"	"attraction"
"49.0521973"	"7.9563025"	"Deutsches Weintor"	"attraction"
"44.0714689"	"3.9800019"	"Bambouseraie d'Anduze"	"museum"
"48.8191631"	"2.1129005"	"Le hameau de la reine"	"attraction"
"48.8570374"	"2.3118779"	"Musée de l'Armée"	"museum"
"43.2945804"	"5.3692811"	"Vieux-Port"	"attraction"
"48.3606033"	"2.7522393"	"Haut Mont"	"viewpoint"
"48.5791319"	"7.7506043"	"Musée Alsacien"	"museum"
"48.5807532"	"7.7523558"	"Musée des arts décoratifs"	"museum"
"49.0406536"	"3.9716185"	"Mercier"	"attraction"
"48.9068263"	"4.0142170"	"Serge Jumel"	"attraction"
"43.5633391"	"6.9816794"	"Belvédère du Maquis"	"viewpoint"
"45.4694622"	"4.3742124"	"Musée d'art moderne"	"museum"
"49.7121329"	"-1.8965808"	"Port Racine"	"attraction"
"48.0867981"	"-1.6535800"	"Tours Aunis et Navarre"	"attraction"
"48.0865722"	"-1.6531181"	"Jardin de Spolette"	"attraction"
"43.6023148"	"1.4431296"	"Musée du Vieux Toulouse"	"museum"
"48.8643016"	"2.3480523"	"Tour de Jean-sans-Peur"	"castle"
"48.8643016"	"2.3480523"	"Tour de Jean-sans-Peur"	"museum"
"47.5885317"	"7.5897727"	"Dreiländereck"	"attraction"
"47.5826379"	"7.5894323"	"Verkehrsdrehscheibe Schweiz"	"museum"
"48.8864800"	"2.3399022"	"Espace Dali"	"museum"
"48.8957518"	"2.3879761"	"Cité des Sciences et de l'Industrie"	"museum"
"48.8547934"	"2.3662431"	"Maison de Victor Hugo"	"museum"
"48.0598184"	"7.2692211"	"Château de Hohlandsbourg"	"castle"
"48.0598184"	"7.2692211"	"Château de Hohlandsbourg"	"attraction"
"45.5189518"	"6.0581867"	"Belvédére du Rocher de Manettaz"	"viewpoint"
"49.1935679"	"2.4790750"	"Musée vivant du cheval"	"museum"
"45.8422221"	"6.1276818"	"Croix des Cessenaz"	"wayside_cross"
"45.8422221"	"6.1276818"	"Croix des Cessenaz"	"viewpoint"
"49.1261113"	"7.0771115"	"Moulin de la Blies"	"attraction"
"45.5688950"	"5.9178798"	"Statue de Jeanne-d'Arc à la Savoie"	"memorial"
"45.5688950"	"5.9178798"	"Statue de Jeanne-d'Arc à la Savoie"	"attraction"
"49.3751823"	"-0.9086043"	"DDay Omaha Beach"	"museum"
"45.1342675"	"6.8450220"	"Colle Sommeiler"	"viewpoint"
"46.3217449"	"1.8265163"	"La Tuilerie de Pouligny"	"attraction"
"43.7541893"	"3.2834754"	"L'eau des Vallées"	"viewpoint"
"43.7652056"	"7.4591818"	"Vieux village de Roquebrune"	"attraction"
"49.4862105"	"-2.5438178"	"Guernsey Freesia Centre"	"attraction"
"49.4381280"	"-2.3682318"	"Window in the Rock"	"viewpoint"
"49.4377327"	"-2.3625790"	"La Seigneurie"	"attraction"
"49.4424197"	"-2.5773476"	"German Military Underground Hospital"	"attraction"
"47.4760289"	"7.4921952"	"Kloster Mariastein"	"attraction"
"48.4600505"	"-5.1104310"	"Maisons du Niou"	"museum"
"49.5963611"	"0.6765317"	"Chêne d'Allouville"	"attraction"
"48.3412260"	"-4.5338073"	"Pointe des Espagnols"	"viewpoint"
"49.4607826"	"6.0229017"	"Musée national des Mines"	"museum"
"44.8409508"	"-0.5698120"	"Musée national des Douanes"	"museum"
"48.7376392"	"-0.5999793"	"Lavoir"	"attraction"
"48.2560347"	"7.3868057"	"Volerie des Aigles"	"attraction"
"42.4849330"	"2.7497314"	"Musée des instruments"	"museum"
"44.7851773"	"6.5535004"	"Musée des Mines d'argent"	"museum"
